CV Data Logger started on:,2020-7-17_154327
Timestamp (millisec since midnight today), CoM X (cm), CoM Y (cm), Theta (deg), Goal X (cm), Goal Y (cm)
56622837,36.0890655506,34.9088061562,-22.1084072549,81.4998766452,-2.86369363088
56622991,36.0849452996,35.0361146863,-22.7349376285,81.5773291964,-2.86150492089
56623189,35.7162236735,34.4522827508,-43.2090720453,81.5773291964,-2.86150492089
56623353,35.8101572288,33.9452373404,-44.0360105642,81.5060570218,-3.05465642606
56623512,36.2324421183,32.8740583843,-39.1474073888,81.5060570218,-3.05465642606
56623669,36.5628535781,32.2462705736,-45.8737956268,81.5060570218,-3.05465642606
56623825,37.0419897636,31.8138229782,-47.0311547687,81.5060570218,-3.05465642606
56624223,39.2333225763,31.1749099422,-44.8390394842,81.587629824,-3.17977624619
56624526,39.0030250484,31.1046895472,-46.2265335984,81.587629824,-3.17977624619
56624731,39.4368384725,32.0726357831,-37.705040779,81.5896899495,-3.24343051125
56624891,39.6630157494,32.2701647082,-47.6776406551,81.591750075,-3.30708477631
56625045,39.6630157494,32.2701647082,-49.1948439861,81.591750075,-3.30708477631
56625366,39.5130631167,29.7174279758,-53.6390706019,81.591750075,-3.30708477631
56625871,39.3342687267,28.0558509543,-55.2379859706,81.591750075,-3.30708477631
56626920,39.4520915696,29.2060051454,-56.8973592719,81.6753830027,-3.4958588615
56628131,38.3953697039,25.9268069774,-60.173255041,81.6795032537,-3.62316739162
56628288,38.6194868552,26.1879901676,-56.0868439222,81.7569558049,-3.62097868163
56628448,39.31449969,26.2713428226,-52.0997245144,81.6815633793,-3.68682165669
56628729,39.5612782221,25.8323290971,-53.6390706019,81.6815633793,-3.68682165669
56628888,40.0869650759,26.3568841876,-52.7295397066,81.6815633793,-3.68682165669
56629901,39.7812751224,26.2208208175,-38.5565991281,81.7631361814,-3.81194147682
56630207,39.9567814799,25.5886555869,-48.6998168239,81.7631361814,-3.81194147682
56630362,40.1116865821,25.5930330068,-51.1737269483,81.7631361814,-3.81194147682
56630745,41.2817153514,25.3712465965,-47.2564005978,81.7631361814,-3.81194147682
56630904,41.6586774795,25.7004614717,-49.6795113167,81.765196307,-3.87559574188
56631059,41.656617354,25.7641157368,-47.2564005978,81.765196307,-3.87559574188
56632077,40.4058480011,23.689971185,-56.0868439222,81.8447089836,-3.93706129695
56632234,39.8471991389,24.1838843355,-55.2379859706,81.9221615348,-3.93487258695
56632395,40.0000441157,24.2519160206,-55.2379859706,81.9221615348,-3.93487258695
56635798,41.6022627136,17.8622320293,-61.8916319546,81.8488292347,-4.06436982707
56635962,41.6084430901,17.6712692341,-61.1645327809,81.7713766835,-4.06655853706
56637805,43.9081303368,16.0797309323,-50.618779999,81.8508893602,-4.12802409213
56638053,44.4523583203,16.0313976372,-44.5497498115,81.8529494857,-4.19167835719
56638581,45.8774061237,15.1159804411,-27.9092065394,81.8529494857,-4.19167835719
56638920,46.3318208029,15.4473840264,-45.5489237899,81.8529494857,-4.19167835719
56639257,46.5703588329,15.2629873611,-47.8263466993,81.8529494857,-4.19167835719
56639985,45.6944914826,13.5817119497,-152.144192245,81.8550096112,-4.25533262225
56640334,45.4600737037,13.6388000848,151.755639196,81.8550096112,-4.25533262225
56640501,45.380561027,13.7002656398,-142.766420613,81.8570697367,-4.31898688731
56641352,46.4957986258,12.7760936038,-49.1948439861,81.7796171856,-4.3211755973
56641517,48.6459289282,13.4102658691,-45.5489237899,81.7796171856,-4.3211755973
56644737,54.3551928623,7.0729292423,-19.6131053166,81.7796171856,-4.3211755973
56644903,54.8199081691,7.08606150225,-19.3367274042,81.7796171856,-4.3211755973
56645568,56.1201205344,7.63250369259,-52.9863474439,81.8591298622,-4.38264115237
56645730,56.4175699859,8.02318412292,-53.8356561916,81.8570697367,-4.31898688731
56645895,56.6519877649,7.96609598783,-55.339918032,81.8570697367,-4.31898688731
56646223,56.728212409,5.61088818059,-71.2489468269,81.8591298622,-4.38264115237
56646387,56.5061553832,5.28605072531,-71.6800620159,83.0229782549,-4.41346476756
56646555,56.2128261827,4.76806176486,-69.9676800477,83.0229782549,-4.41346476756
56646721,55.8379241801,4.37519262454,-67.251269615,64.8801036274,2.84676356184
56646885,55.7769526331,3.86376979406,-69.0040483038,81.9324621623,-4.25314391226
56647056,55.7810728841,3.73646126394,-63.2414492726,82.2422723669,-4.24438907229
56647241,55.7098007095,3.54330975877,-63.2414492726,82.2422723669,-4.24438907229
56647610,55.3142974517,3.78698326905,-61.5845196054,85.6060897629,-0.390295484102
56647796,54.2361421123,3.56537853399,-61.5845196054,85.6060897629,-0.390295484102
56648150,54.4870408954,2.99905627842,-76.9946766365,69.4204850161,23.0445006254
56648321,55.4329525132,2.51608667783,-74.8493858544,76.0588247169,-0.0229641624326
56648496,56.0484526714,2.66090488788,-71.2489468269,76.0588247169,-0.0229641624326
56648862,57.4932695114,3.52999582351,-65.5389670721,76.0588247169,-0.0229641624326
56649022,58.6756590337,2.92628382277,-58.4121685341,74.62636863,-1.27398068842
56649854,58.7634122125,2.61020120746,-178.052911815,75.8429480676,-0.538764412892
56650478,61.5022610413,4.2166971286,-40.7883031435,75.8429480676,-0.538764412892
56653135,65.8453885934,-0.630145206595,-51.826156071,80.5028575779,3.98907989576
56653770,68.1833860064,-1.01006376228,162.726918811,80.390382893,5.0690136918
56654093,67.4966136737,-1.3480334775,-56.1355601325,80.447234189,5.70774505239
56654791,71.6914121886,-1.61176872833,-54.7750168877,80.3553607592,6.15113619783
56654948,71.9991622677,-1.53935962331,-51.3085039343,80.1963354059,6.27406730797
56659761,75.2789510475,-2.27493924946,-125.052416614,77.7026006721,9.07065922596
56660880,77.0747806024,-2.67017877508,-51.7775071863,77.0726796354,9.37142087134
56663909,73.3129632931,0.982553493901,-102.058297944,76.012233207,10.997978533
56664088,73.3170835441,0.85524496378,-28.2374074235,75.4474039683,11.6828544788
56664257,73.5370804444,1.24373668412,-28.5774184194,75.288378615,11.8057855889
