CV Data Logger started on:,2020-2-28_141452
Timestamp (millisec since midnight today), CoM X (cm), CoM Y (cm), Theta (deg), Goal X (cm), Goal Y (cm)
51305934,41.650477819,13.9771331506,133.130987468,6.19606452978,41.1361536513
51306083,41.4935125912,14.0364099957,128.480400338,6.19606452978,41.1361536513
51306433,39.8307589763,12.7151730747,129.892935198,6.27351708092,41.1383423613
51306581,39.5230088973,12.6427639696,128.480400338,6.27351708092,41.1383423613
51306729,39.6004614484,12.6449526796,125.491545202,6.19606452978,41.1361536513
51307099,41.9273260153,15.0043562315,105.150614146,6.27351708092,41.1383423613
51307246,42.2981077669,15.524533902,103.306760237,6.19606452978,41.1361536513
51307698,41.4049271939,16.7735433933,103.960546025,6.19606452978,41.1361536513
51307846,40.7181548612,16.4355736781,103.624709868,6.19400440426,41.1998079163
51307997,40.4207054097,16.0448932477,103.624709868,6.27351708092,41.1383423613
51308148,40.3453129841,15.9790502727,101.438033108,6.19606452978,41.1361536513
51308529,40.267860433,15.9768615627,107.377118424,6.19606452978,41.1361536513
51308679,40.0355027795,15.9702954327,107.377118424,6.19400440426,41.1998079163
51309265,41.2665030958,16.2599318528,89.9178677303,6.19400440426,41.1998079163
51309413,41.0320853168,16.3170199879,89.9701561099,6.19400440426,41.1998079163
51309834,39.3417178518,18.244339295,80.3820586806,6.19400440426,41.1998079163
51309984,39.1031798218,18.4287359602,80.3820586806,6.19400440426,41.1998079163
51310138,38.711796815,18.5451009403,82.2563001571,6.19400440426,41.1998079163
51310503,37.684312395,19.1531903611,78.1649988729,6.19606452978,41.1361536513
51310654,37.3703819393,19.2717440512,80.0630780447,6.19606452978,41.1361536513
51310802,37.215476837,19.2673666312,80.0630780447,6.19400440426,41.1998079163
51311167,37.1359641604,19.3288321863,78.1649988729,6.19606452978,41.1361536513
51311835,35.7582992439,18.780201286,73.4744012733,6.19400440426,41.1998079163
51311985,35.4340681607,19.2170263014,78.1649988729,6.19606452978,41.1361536513
51312133,35.2771029329,19.2763031465,76.2965241461,6.19400440426,41.1998079163
51312405,35.1831693776,19.783348557,82.2563001571,6.19606452978,41.1361536513
51312552,35.2565016777,19.9128457971,81.9872134116,6.19606452978,41.1361536513
51313037,34.9157895904,20.8589049331,79.7261239257,6.19400440426,41.1998079163
51313187,35.1522674949,20.7381625329,80.0630780447,6.19400440426,41.1998079163
51313332,35.1543276204,20.6745082679,80.0630780447,6.19400440426,41.1998079163
51313671,34.9199098414,20.7315964029,77.777782607,6.19400440426,41.1998079163
51313822,34.9137294649,20.9225591981,78.1649988729,6.19400440426,41.1998079163
51313972,35.7863087826,20.3100923574,76.2965241461,6.19606452978,41.1361536513
