CV Data Logger started on:,2020-7-17_151641
Timestamp (millisec since midnight today), CoM X (cm), CoM Y (cm), Theta (deg), Goal X (cm), Goal Y (cm)
55034755,7.77071011892,26.0170805067,-81.8378457822,56.91025399,21.5441528357
55034910,7.38138723768,26.0697912218,-81.8378457822,56.9040736134,21.7351156309
55035074,7.6116847656,26.1400116169,-92.3645851312,56.971225537,22.0555756661
55035484,9.67077385674,24.7965242453,-80.0055840472,57.1158300117,22.3782244114
55035640,9.8339194611,24.546284605,-77.7096816184,57.1932825628,22.3804131214
55035795,10.0135460696,23.7868108443,-73.6904719057,57.1932825628,22.3804131214
55036103,9.39186553492,23.8329554294,-73.6904719057,56.8814122328,22.4353125465
55036310,9.31029273274,23.9580752495,-73.6904719057,56.7265071305,22.4309351265
55036461,9.46519783503,23.9624526695,-73.6904719057,56.7244470049,22.4945893916
55036856,8.76606474921,24.0064085447,-77.3912816308,56.789538803,22.878703692
55037014,8.37262161693,24.1864277899,-80.0055840472,56.7833584264,23.0696664871
55037174,8.90654897288,24.4563658201,-83.6597566942,56.7668774223,23.5789006076
55037323,9.44871683089,24.47168679,-81.4346449153,56.7627571713,23.7062091377
55037732,11.8806477991,23.5847228238,-69.2814554843,56.7627571713,23.7062091377
55037890,12.2089991334,23.0205892783,-64.3199866244,56.8113679652,24.5995575586
55038069,12.2131193844,22.8932807481,-64.3199866244,56.8113679652,24.5995575586
55038336,11.6606508988,23.1962311035,-65.4861278614,56.8113679652,24.5995575586
55038499,11.9725212289,23.1413316784,-63.6629418929,56.733915414,24.5973688486
55038670,11.8237965032,22.9459914632,-62.9710514181,56.6564628629,24.5951801386
55038817,10.8943658894,22.9197269433,-69.2814554843,56.4994976351,24.6544569837
55038972,10.7374006616,22.9790037884,-71.2489468269,56.4994976351,24.6544569837
55039167,11.1081824132,23.4991814589,-85.8244181529,56.3363520307,24.9046966239
55039407,12.5777207594,23.6044212138,-66.1051330675,56.3363520307,24.9046966239
55039565,13.0465563173,23.4902449436,-66.7499034254,56.3952634522,25.4797737195
55040012,14.080221114,22.6911927277,-60.173255041,56.366421695,26.3709334303
55040174,13.9211957606,22.8141238378,-62.5831501356,56.4397539951,26.5004306704
55040434,13.9150153841,23.005086633,-59.4147441908,56.4294533675,26.8187019957
55040681,13.7745311604,22.5551293576,-59.4147441908,56.4253331164,26.9460105259
55040845,13.3872684047,22.5441858076,-62.5831501356,56.3478805653,26.9438218159
55041004,12.7676479955,22.5266761277,-65.4861278614,56.2724881397,26.8779788408
55041157,12.76558787,22.5903303928,-71.7324519888,56.192975463,26.9394443959
55041505,15.3194619323,22.7262120875,-60.3992872607,56.192975463,26.9394443959
55041661,15.7129050645,22.5461928423,-59.4147441908,55.9523773075,27.1874953262
55042077,16.1982216266,21.9227824517,-57.7221647836,55.77687095,27.8196605568
55042244,15.9617437221,22.0435248518,-58.5084256327,55.77687095,27.8196605568
55042401,15.6478132665,22.162078542,-61.8916319546,55.7624500714,28.2652404122
55042722,15.9048924261,21.4047934912,-61.1645327809,55.894693793,28.9698147479
55042868,15.4339967427,21.5826240264,-63.6629418929,55.894693793,28.9698147479
55043023,14.9713415614,21.5058375014,-67.3596506802,55.8090007398,29.2222430981
55043184,15.2687910128,21.8965179318,-64.1441071136,55.8048804888,29.3495516282
55043770,18.4752474925,21.0314410655,-49.6795113167,55.4196778586,29.2749538132
55044275,17.5499371298,20.8778680155,-52.0997245144,55.1687790755,29.8412760688
55044453,17.7151428597,20.5639741102,-48.2452203996,55.0830860223,30.093704419
55044617,17.7946555364,20.5025085551,-49.1948439861,55.0810258967,30.1573586841
55044931,17.332000355,20.4257220301,-53.6390706019,55.0563043905,30.9212098648
55045253,17.7719941557,21.2027054708,-45.8737956268,55.0563043905,30.9212098648
55045404,18.7706368185,21.4857757609,-36.4664087422,55.0563043905,30.9212098648
55045805,20.0448997706,20.4386726147,-33.3028846906,55.0563043905,30.9212098648
55045978,19.973627596,20.2455211096,-34.3212598825,54.6401998776,31.8014260257
55046130,19.8961750449,20.2433323996,-35.4838546289,54.6381397521,31.8650802908
55046576,20.0675611513,19.7384756991,-35.5685758103,54.3200890454,32.110942511
55046745,20.0737415279,19.5475129039,-39.9607217409,54.2385162432,32.2360623312
55046890,20.2937384282,19.9360046242,-43.5125889916,54.2323358667,32.4270251264
55047369,20.5602859969,21.2814990305,-40.5293025884,53.9690763305,33.3752729723
55047571,19.9653870939,20.5001381698,-54.832618609,54.0341681285,33.7593872727
55048146,18.7166778666,18.3623393529,-69.2814554843,53.8586617711,34.3915525033
55048300,18.5761936429,17.9123820775,-64.3199866244,53.8586617711,34.3915525033
55048707,18.4418897958,17.2714620069,-60.173255041,53.312373662,34.5035400635
55048864,18.6742474492,17.2780281369,-59.4147441908,53.312373662,34.5035400635
55049017,18.3685574957,17.1419647668,-60.173255041,53.1533483087,34.6264711736
55049171,17.9038421888,17.1288325069,-59.4147441908,53.1533483087,34.6264711736
55049575,20.7180834432,18.8011714031,-43.7630567068,52.892148898,35.5110647545
