Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00000","-0.01263"
"0.10000","0.00954","0.01281"
"0.20000","0.02816","0.00842"
"0.30000","0.04496","0.01143"
"0.40000","0.06147","0.02238"
"0.50000","0.07833","0.04151"
"0.60000","0.09495","0.04810"
"0.70000","0.11164","0.05016"
"0.80000","0.12814","0.05886"
"0.90000","0.14493","0.06855"
"1.00000","0.16163","0.07231"
"1.10000","0.17817","0.07700"
"1.20000","0.19503","0.08762"
"1.30000","0.21165","0.09657"
"1.40000","0.22841","0.09065"
"1.50000","0.24481","0.10270"
"1.60000","0.26170","0.10743"
"1.70000","0.27836","0.10685"
"1.80000","0.29490","0.11325"
"1.90000","0.31160","0.10622"
"2.00000","0.32830","0.14663"
"2.10000","0.34496","0.14247"
"2.20000","0.36155","0.12826"
"2.30000","0.37834","0.13834"
"2.40000","0.39495","0.15513"
"2.50000","0.41162","0.15299"
"2.60000","0.42815","0.15834"
"2.70000","0.44503","0.17223"
"2.80000","0.46166","0.17210"
"2.90000","0.47823","0.18494"
"3.00000","0.49500","0.18008"
"3.10000","0.51169","0.18858"
"3.20000","0.52834","0.18240"
"3.30000","0.54487","0.19639"
"3.40000","0.56173","0.19836"
"3.50000","0.57826","0.21304"
"3.60000","0.59489","0.22362"
"3.70000","0.61152","0.21864"
"3.80000","0.62834","0.21945"
"3.90000","0.64492","0.22416"
"4.00000","0.66149","0.22887"
"4.10000","0.67839","0.24570"
"4.20000","0.69502","0.24469"
"4.30000","0.71168","0.24738"
"4.40000","0.72815","0.26942"
"4.50000","0.74507","0.26073"
"4.60000","0.76161","0.27724"
"4.70000","0.77820","0.27521"
"4.80000","0.79493","0.27670"
"4.90000","0.81168","0.26683"
"5.00000","0.82828","0.28952"
"5.10000","0.84483","0.30803"
"5.20000","0.86166","0.30283"
"5.30000","0.87830","0.29601"
"5.40000","0.89494","0.30574"
"5.50000","0.91146","0.32660"
"5.60000","0.92839","0.31382"
"5.70000","0.94492","0.32499"
"5.80000","0.96155","0.32763"
"5.90000","0.97830","0.32378"
"6.00000","0.99504","0.33894"
"6.10000","1.01167","0.33939"
"6.20000","1.02815","0.34440"
"6.30000","1.04502","0.34464"
"6.40000","1.06171","0.35516"
"6.50000","1.07829","0.36840"
"6.60000","1.09485","0.36222"
"6.70000","1.11171","0.37484"
"6.80000","1.12820","0.37753"
"6.90000","1.14487","0.37205"
"7.00000","1.16163","0.37923"
"7.10000","1.17833","0.38440"
"7.20000","1.19499","0.38757"
"7.30000","1.21154","0.40703"
"7.40000","1.22845","0.39389"
"7.50000","1.24496","0.40627"
"7.60000","1.26158","0.41588"
"7.70000","1.27826","0.42265"
"7.80000","1.29507","0.42015"
"7.90000","1.31148","0.41402"
"8.00000","1.32818","0.41177"
"8.10000","1.34496","0.42696"
"8.20000","1.36165","0.44405"
"8.30000","1.37831","0.45949"
"8.40000","1.39488","0.43974"
"8.50000","1.41174","0.43866"
"8.60000","1.42823","0.46362"
"8.70000","1.44495","0.45052"
"8.80000","1.46165","0.46386"
"8.90000","1.47840","0.46846"
"9.00000","1.49491","0.48375"
"9.10000","1.51155","0.49916"
"9.20000","1.52834","0.48674"
"9.30000","1.54496","0.49118"
"9.40000","1.56165","0.51159"
"9.50000","1.57815","0.49491"
"9.60000","1.59509","0.50764"
"9.70000","1.61154","0.51343"
"9.80000","1.62819","0.51760"
"9.90000","1.64497","0.53189"
"10.00000","1.66170","0.53327"
"10.10000","1.67825","0.52668"
"10.20000","1.69494","0.52354"
"10.30000","1.71175","0.53683"
"10.40000","1.72831","0.52939"
"10.50000","1.74488","0.53996"
"10.60000","1.76153","0.56295"
"10.70000","1.77841","0.55486"
"10.80000","1.79486","0.54994"
"10.90000","1.81154","0.55426"
"11.00000","1.82826","0.56522"
"11.10000","1.84503","0.57066"
"11.20000","1.86160","0.56615"
"11.30000","1.87825","0.58574"
"11.40000","1.89506","0.57815"
"11.50000","1.91163","0.59336"
"11.60000","1.92830","0.58171"
"11.70000","1.94493","0.58850"
"11.80000","1.96179","0.60455"
"11.90000","1.97817","0.60276"
"12.00000","1.99491","0.61210"
"12.10000","2.01168","0.61521"
"12.20000","2.02823","0.62085"
"12.30000","2.04491","0.62471"
"12.40000","2.06160","0.62779"
"12.50000","2.07841","0.62583"
"12.60000","2.09485","0.62240"
"12.70000","2.11162","0.62530"
"12.80000","2.12829","0.64854"
"12.90000","2.14507","0.64877"
"13.00000","2.16152","0.65328"
"13.10000","2.17830","0.65373"
"13.20000","2.19502","0.65402"
"13.30000","2.21161","0.67004"
"13.40000","2.22827","0.66983"
"13.50000","2.24496","0.68613"
"13.60000","2.26176","0.67881"
"13.70000","2.27820","0.68164"
"13.80000","2.29488","0.69238"
"13.90000","2.31158","0.68779"
"14.00000","2.32837","0.70107"
"14.10000","2.34484","0.70248"
"14.20000","2.36159","0.70862"
"14.30000","2.37831","0.69856"
"14.40000","2.39494","0.71087"
"14.50000","2.41160","0.72195"
"14.60000","2.42834","0.72225"
"14.70000","2.44512","0.72895"
"14.80000","2.46154","0.72701"
"14.90000","2.47831","0.73105"
"15.00000","2.49495","0.73441"
"15.10000","2.51162","0.75351"
"15.20000","2.52812","0.74087"
"15.30000","2.54496","0.75052"
"15.40000","2.56165","0.74616"
"15.50000","2.57819","0.76250"
"15.60000","2.59494","0.76438"
"15.70000","2.61160","0.75410"
"15.80000","2.62842","0.76689"
"15.90000","2.64487","0.77895"
"16.00000","2.66167","0.77022"
"16.10000","2.67834","0.78715"
"16.20000","2.69496","0.78272"
"16.30000","2.71154","0.78487"
"16.40000","2.72832","0.78712"
"16.50000","2.74504","0.78463"
"16.60000","2.76152","0.79815"
"16.70000","2.77822","0.79558"
"16.80000","2.79497","0.80196"
"16.90000","2.81172","0.82256"
"17.00000","2.82813","0.82446"
"17.10000","2.84498","0.81898"
"17.20000","2.86164","0.81509"
"17.30000","2.87829","0.83607"
"17.40000","2.89486","0.81840"
