Time,Extension,Load
(s),(mm),(N)
"0.00000","-152.52029","-0.00632"
"0.00400","-152.52029","0.00835"
"0.01400","-152.52039","0.00388"
"0.02400","-152.52048","-0.00521"
"0.03400","-152.52048","-0.00573"
"0.03600","-152.52048","0.00969"
"0.03800","-152.52048","-0.00360"
"0.04800","-152.52045","0.00558"
"0.05800","-152.52045","0.01193"
"0.06500","-152.52045","0.00115"
"0.07500","-152.52045","0.00448"
"0.07800","-152.52045","-0.00630"
"0.08800","-152.52045","0.00605"
"0.09000","-152.52045","-0.00722"
"0.09800","-152.52045","0.00409"
"0.10300","-152.52045","-0.00731"
"0.10800","-152.52045","0.00423"
"0.11200","-152.52045","0.01761"
"0.11600","-152.52045","-0.00399"
"0.12300","-152.52045","0.00703"
"0.13000","-152.52045","-0.00603"
"0.13700","-152.52045","0.01000"
"0.14200","-152.52045","-0.00439"
"0.14400","-152.52045","-0.01459"
"0.14600","-152.52045","-0.00234"
"0.14900","-152.52045","0.00877"
"0.15900","-152.52045","0.00695"
"0.16900","-152.52045","0.00360"
"0.17900","-152.52045","-0.00161"
"0.18100","-152.52045","-0.01471"
"0.18500","-152.52045","0.00295"
"0.19000","-152.52045","-0.01054"
"0.20000","-152.52042","-0.00463"
"0.20500","-152.52042","0.00852"
"0.21500","-152.52042","0.00855"
"0.21700","-152.52042","0.02004"
"0.22000","-152.52042","0.00685"
"0.22200","-152.52042","-0.00511"
"0.22500","-152.52042","0.00817"
"0.22900","-152.52042","-0.00947"
"0.23900","-152.52042","-0.00947"
"0.24300","-152.52042","0.00217"
"0.25300","-152.52042","0.00453"
"0.26300","-152.52042","0.00224"
"0.27300","-152.52042","0.00720"
"0.27800","-152.52042","0.02015"
"0.28400","-152.52042","-0.00343"
"0.29400","-152.52042","0.00563"
"0.30400","-152.52042","-0.00485"
"0.30700","-152.52042","0.01104"
"0.31000","-152.52042","-0.00554"
"0.31400","-152.52042","0.00964"
"0.32400","-152.52039","0.00809"
"0.32800","-152.52037","-0.00462"
"0.33000","-152.52039","0.00593"
"0.33100","-152.52039","0.01806"
"0.33500","-152.52039","0.00727"
"0.34000","-152.52039","-0.00796"
"0.34300","-152.52039","0.00239"
"0.34900","-152.52039","-0.00911"
"0.35700","-152.52039","0.00537"
"0.36300","-152.52039","-0.00512"
"0.36700","-152.52039","0.00648"
"0.37400","-152.52039","-0.00367"
"0.38200","-152.52039","0.00970"
"0.38400","-152.52039","0.02156"
"0.38600","-152.52039","0.01078"
"0.38800","-152.52039","-0.00148"
"0.39700","-152.52039","0.01189"
"0.40000","-152.52039","-0.00147"
"0.40100","-152.52039","-0.01522"
"0.40400","-152.52039","0.00205"
"0.40600","-152.52039","-0.00796"
"0.40900","-152.52039","0.01022"
"0.41300","-152.52039","-0.00451"
"0.42000","-152.52039","0.01215"
"0.43000","-152.52039","0.00036"
"0.44000","-152.52036","0.00292"
"0.44500","-152.52036","0.01319"
"0.44600","-152.52036","0.00172"
"0.45100","-152.52036","-0.00883"
"0.45700","-152.52036","0.00252"
"0.46700","-152.52036","-0.01164"
"0.46900","-152.52036","0.00349"
"0.47100","-152.52036","0.01368"
"0.47800","-152.52036","0.00201"
"0.48100","-152.52036","0.01665"
"0.48500","-152.52036","0.00587"
"0.49200","-152.52036","-0.01391"
"0.49600","-152.52036","0.00550"
"0.50600","-152.52036","-0.00661"
"0.50900","-152.52036","0.00359"
"0.51900","-152.52036","0.00781"
"0.52100","-152.52036","-0.00311"
"0.52400","-152.52036","0.01213"
"0.53000","-152.52036","0.00100"
"0.53200","-152.52036","-0.01111"
"0.53400","-152.52036","0.00500"
"0.53600","-152.52036","0.01820"
"0.53800","-152.52036","0.00805"
"0.54300","-152.52036","-0.00278"
"0.55300","-152.52036","-0.00390"
"0.56200","-152.52036","0.00825"
"0.57000","-152.52036","-0.00204"
"0.57100","-152.52036","-0.01220"
"0.57300","-152.52036","-0.00012"
"0.57700","-152.52036","0.01023"
"0.58100","-152.52036","0.02259"
"0.58300","-152.52036","0.00678"
"0.58500","-152.52036","-0.00459"
"0.58700","-152.52036","0.00619"
"0.59300","-152.52036","0.01780"
"0.59500","-152.52036","0.00430"
"0.60500","-152.52036","0.00846"
"0.60900","-152.52036","-0.00791"
"0.61600","-152.52036","0.00223"
"0.61900","-152.52036","0.01317"
"0.62100","-152.52036","0.00316"
"0.62500","-152.52036","0.01361"
"0.62900","-152.52034","-0.00242"
"0.63200","-152.52032","0.00973"
"0.64200","-152.52032","0.00617"
"0.64500","-152.52032","-0.00681"
"0.65500","-152.52032","-0.01381"
"0.65700","-152.52032","0.00445"
"0.66000","-152.52032","-0.00875"
"0.66800","-152.52032","0.00677"
"0.67800","-152.52032","-0.00797"
"0.68300","-152.52032","0.00555"
"0.69300","-152.52032","-0.00629"
"0.69600","-152.52032","0.01345"
"0.69900","-152.52032","-0.00173"
"0.70000","-152.52032","-0.01247"
"0.70200","-152.52032","-0.02635"
"0.70600","-152.52032","-0.00952"
"0.71600","-152.52032","-0.01438"
"0.71900","-152.52032","-0.00419"
"0.72000","-152.52032","0.00762"
"0.73000","-152.52032","0.00079"
"0.74000","-152.52032","0.00975"
"0.74300","-152.52032","-0.00104"
"0.75300","-152.52032","-0.00796"
"0.76000","-152.52032","0.00382"
"0.76400","-152.52032","-0.01733"
"0.76900","-152.52032","0.00018"
"0.77800","-152.52032","-0.01928"
"0.78000","-152.52032","-0.00774"
"0.78200","-152.52032","0.00282"
"0.78700","-152.52032","0.01711"
"0.79100","-152.52032","0.00589"
"0.79500","-152.52032","-0.00723"
"0.79700","-152.52032","0.00553"
"0.79900","-152.52032","0.01976"
"0.80100","-152.52032","0.00900"
